Medicine_ID,Medicine_Name,Strength,Use_Case,Alternative,Stock,Dosage_Instruction,Side_Effects,Price,Manufacturer
31,Paracetamol,650mg,"High Fever",Dolo 650,Yes,"1 tablet every 6 hrs","Nausea, Liver toxicity",1.80,PharmaCorp
32,Mefenamic Acid,500mg,Period Pain,Ibuprofen,Yes,"1 tablet as needed","Stomach pain",2.00,FemPain
33,Tramadol,50mg,Severe Pain,Tapentadol,No,As prescribed,"Nausea, Dizziness",5.00,PainKiller
34,Clindamycin,300mg,Infection,Lincomycin,Yes,"1 capsule every 6 hrs","Diarrhea, Nausea",7.00,DermaCure
35,Isotretinoin,20mg,Severe Acne,Doxycycline,No,1 capsule daily after fat meal,"Dry lips, Sun sensitivity",20.00,AcneClear
36,Terbinafine,250mg,Fungal Infection,Griseofulvin,Yes,1 tablet daily for 2 weeks,"Taste disturbance",15.00,FungiStop
37,Amlodipine,5mg,Hypertension,Nifedipine,Yes,1 tablet daily,"Swollen ankles",1.50,BPSafe
38,Enalapril,5mg,Hypertension,Lisinopril,Yes,1 tablet daily,Dry cough,1.20,ACEInhibit
39,Warfarin,5mg,Blood Thinner,Acitrom,No,Strictly as prescribed,Bleeding,3.00,ClotBuster
40,Digoxin,0.25mg,Heart Failure,None,Yes,As prescribed,Nausea,2.00,HeartTone
41,Propranolol,40mg,"Anxiety, Tremors",Metoprolol,Yes,"1 tablet as needed","Tiredness, Cold hands",1.50,CalmHeart
42,Amitriptyline,10mg,Depression,Nortriptyline,Yes,1 tablet at night,"Dry mouth, Weight gain",1.00,MoodLift
43,Sertraline,50mg,Depression,Escitalopram,Yes,1 tablet morning,"Insomnia, Nausea",4.00,HappyMind
44,Quetiapine,25mg,Insomnia,Olanzapine,Yes,1 tablet at night,"Drowsiness, Weight gain",5.00,SleepWell
45,Zolpidem,5mg,Insomnia,Zopiclone,No,1 tablet at night,"Drowsiness, Hallucinations",6.00,SleepFast
46,Tamsulosin,0.4mg,Prostate Enlargement,Silodosin,Yes,1 capsule after dinner,Dizziness,8.00,ProstateCare
47,Sachet,1g,Probiotic,Yogurt,Yes,1 sachet daily,Bloating,2.00,GutHealth
48,Calcium+D3,500mg,Bone Health,Milk,Yes,1 tablet daily,Constipation,3.00,BoneStrong
49,Iron Folic,100mg,Anemia,Spinach,Yes,1 tablet daily,"Black stools, Constipation",2.50,IronUp
50,Multivitamin,1 tab,General Health,Fruits,Yes,1 tablet daily,None,4.00,DailyVits
